"object id","Sprite_Listing3 target","Sprite_ListingK target","current skdisasm label/comment","proposed comment/name","primary evidence","OpenGGF corroboration","confidence","upstream patch decision"
"$00","Obj_Ring","Obj_Ring","Set1: Obj_Ring; Set2: Obj_Ring","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name Ring; Set 2 OpenGGF primary name Ring","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$10","Obj_LBZTubeElevator","Obj_MHZSwingVine","Set1: Obj_LBZTubeElevator; Set2: Obj_MHZSwingVine","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZTubeElevator; Set 2 OpenGGF primary name MHZSwingVine","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$11","Obj_LBZMovingPlatform","Obj_MHZMushroomPlatform","Set1: Obj_LBZMovingPlatform; Set2: Obj_MHZMushroomPlatform","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZMovingPlatform; Set 2 OpenGGF primary name MHZMushroomPlatform","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$12","Obj_LBZUnusedElevator","Obj_MHZMushroomParachute","Set1: Obj_LBZUnusedElevator; Set2: Obj_MHZMushroomParachute","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZUnusedElevator; Set 2 OpenGGF primary name MHZMushroomParachute","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$13","Obj_LBZExplodingTrigger","Obj_MHZMushroomCatapult","Set1: Obj_LBZExplodingTrigger; Set2: Obj_MHZMushroomCatapult","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZExplodingTrigger; Set 2 OpenGGF primary name MHZMushroomCatapult","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$14","Obj_LBZTriggerBridge","Obj_Updraft","Set1: Obj_LBZTriggerBridge; Set2: Obj_Updraft","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZTriggerBridge; Set 2 OpenGGF primary name Updraft","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$15","Obj_LBZPlayerLauncher","Obj_LRZCorkscrew","Set1: Obj_LBZPlayerLauncher; Set2: Obj_LRZCorkscrew","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZPlayerLauncher; Set 2 OpenGGF primary name LRZCorkscrew","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$16","Obj_LBZFlameThrower","Obj_LRZWallRide","Set1: Obj_LBZFlameThrower; Set2: Obj_LRZWallRide","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZFlameThrower; Set 2 OpenGGF primary name LRZWallRide","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$17","Obj_LBZRideGrapple","Obj_LRZSinkingRock","Set1: Obj_LBZRideGrapple; Set2: Obj_LRZSinkingRock","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZRideGrapple; Set 2 OpenGGF primary name LRZSinkingRock","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$18","Obj_LBZCupElevator","Obj_LRZFallingSpike","Set1: Obj_LBZCupElevator; Set2: Obj_LRZFallingSpike","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZCupElevator; Set 2 OpenGGF primary name LRZFallingSpike","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$19","Obj_LBZCupElevatorPole","Obj_LRZDoor","Set1: Obj_LBZCupElevatorPole; Set2: Obj_LRZDoor","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZCupElevatorPole; Set 2 OpenGGF primary name LRZDoor","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$1A","Obj_LBZUnusedTiltingBridge","Obj_LRZBigDoor","Set1: Obj_LBZUnusedTiltingBridge; Set2: Obj_LRZBigDoor","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZUnusedTiltingBridge; Set 2 OpenGGF primary name LRZBigDoor","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$1B","Obj_LBZPipePlug","Obj_LRZFireballLauncher","Set1: Obj_LBZPipePlug; Set2: Obj_LRZFireballLauncher","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZPipePlug; Set 2 OpenGGF primary name LRZFireballLauncher","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$1C","Obj_Ring","Obj_LRZButtonHorizontal","Set1: Obj_Ring; Set2: Obj_LRZButtonHorizontal","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 not explicitly named in OpenGGF registry switch; Set 2 OpenGGF primary name LRZButtonHorizontal","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$1D","Obj_LBZUnusedBarPlatform","Obj_LRZShootingTrigger","Set1: Obj_LBZUnusedBarPlatform; Set2: Obj_LRZShootingTrigger","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZUnusedBarPlatform; Set 2 OpenGGF primary name LRZShootingTrigger","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$1E","Obj_LBZSpinLauncher","Obj_LRZDashElevator","Set1: Obj_LBZSpinLauncher; Set2: Obj_LRZDashElevator","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZSpinLauncher; Set 2 OpenGGF primary name LRZDashElevator","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$1F","Obj_LBZLoweringGrapple","Obj_LRZLavaFall","Set1: Obj_LBZLoweringGrapple; Set2: Obj_LRZLavaFall","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZLoweringGrapple; Set 2 OpenGGF primary name LRZLavaFall","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$20","Obj_MGZLBZSmashingPillar","Obj_LRZSwingingSpikeBall","Set1: Obj_MGZLBZSmashingPillar; Set2: Obj_LRZSwingingSpikeBall","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name MGZLBZSmashingPillar; Set 2 OpenGGF primary name LRZSwingingSpikeBall","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$21","Obj_LBZGateLaser","Obj_LRZSmashingSpikePlatform","Set1: Obj_LBZGateLaser; Set2: Obj_LRZSmashingSpikePlatform","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZGateLaser; Set 2 OpenGGF primary name LRZSmashingSpikePlatform","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$22","Obj_LBZAlarm","Obj_LRZSpikeBall","Set1: Obj_LBZAlarm; Set2: Obj_LRZSpikeBall","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZAlarm; Set 2 OpenGGF primary name LRZSpikeBall","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$23","Obj_LBZUnusedForceFall","Obj_MHZMushroomCap","Set1: Obj_LBZUnusedForceFall; Set2: Obj_MHZMushroomCap","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name LBZUnusedForceFall; Set 2 OpenGGF primary name MHZMushroomCap","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$24","Obj_AutomaticTunnel","Obj_AutomaticTunnel","Set1: Obj_AutomaticTunnel; Set2: Obj_AutomaticTunnel","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AutomaticTunnel; Set 2 OpenGGF primary name AutomaticTunnel","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$25","Obj_Ring","Obj_LRZChainedPlatforms","Set1: Obj_Ring; Set2: Obj_LRZChainedPlatforms","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 not explicitly named in OpenGGF registry switch; Set 2 OpenGGF primary name LRZChainedPlatforms","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$26","Obj_AutoSpin","Obj_AutoSpin","Set1: Obj_AutoSpin; Set2: Obj_AutoSpin","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AutoSpin; Set 2 OpenGGF primary name AutoSpin","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$27","Obj_S2LavaMarker","Obj_S2LavaMarker","Set1: Obj_S2LavaMarker; Set2: Obj_S2LavaMarker","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name S2LavaMarker; Set 2 OpenGGF primary name S2LavaMarker","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$28","Obj_InvisibleBlock","Obj_InvisibleBlock","Set1: Obj_InvisibleBlock; Set2: Obj_InvisibleBlock","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name InvisibleBlock; Set 2 OpenGGF primary name InvisibleBlock","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$29","Obj_AIZDisappearingFloor","Obj_LRZFlameThrower","Set1: Obj_AIZDisappearingFloor; Set2: Obj_LRZFlameThrower","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZDisappearingFloor; Set 2 OpenGGF primary name LRZFlameThrower","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$2A","Obj_CorkFloor","Obj_CorkFloor","Set1: Obj_CorkFloor; Set2: Obj_CorkFloor","Keep target label; rely on table-level header/hex-ID guidance in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name CorkFloor; Set 2 OpenGGF primary name CorkFloor","High for pointer target and table-selection annotation; no behavior claim","Keep target label; rely on table-level header/hex-ID guidance in pilot patch"
"$2B","Obj_AIZFlippingBridge","Obj_LRZOrbitingSpikeBallHorizontal","Set1: Obj_AIZFlippingBridge; Set2: Obj_LRZOrbitingSpikeBallHorizontal","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZFlippingBridge; Set 2 OpenGGF primary name LRZOrbitingSpikeBallH","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$2C","Obj_AIZCollapsingLogBridge","Obj_LRZOrbitingSpikeBallVertical","Set1: Obj_AIZCollapsingLogBridge; Set2: Obj_LRZOrbitingSpikeBallVertical","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZCollapsingLogBridge; Set 2 OpenGGF primary name LRZOrbitingSpikeBallV","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$2D","Obj_AIZFallingLog","Obj_LRZSolidMovingPlatforms","Set1: Obj_AIZFallingLog; Set2: Obj_LRZSolidMovingPlatforms","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZFallingLog; Set 2 OpenGGF primary name LRZSolidMovingPlatforms","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
"$2E","Obj_AIZSpikedLog","Obj_LRZSolidRock","Set1: Obj_AIZSpikedLog; Set2: Obj_LRZSolidRock","Differing table targets; document in audit, no label rename in pilot patch","Pointer table entry in SK Set file(s); table selection code at sonic3k.asm loc_1B6A8 chooses Sprite_Listing3 or Sprite_ListingK by Current_zone; includes at sonic3k.asm Sprite_Listing3/Sprite_ListingK","Set 1 OpenGGF primary name AIZSpikedLog; Set 2 OpenGGF primary name LRZSolidRock","High for pointer target and table-selection annotation; no behavior claim","Differing table targets; document in audit, no label rename in pilot patch"
